explanation,text
"The saying 'A rose by any other name would smell as sweet' means that what matters is what something is, not what it is called.",A rose by any other name would smell as sweet
"The meaning most often attributed to 'a rose is a rose is a rose' is the notion that, when all is said and done, a thing is what it is. This is in similar vein to Shakespeare's 'a rose by any other name would smell as sweet'. However, that's not the interpretation given by the author of the phrase - see below. ",A rose is a rose is a rose
"A
reliable, if somewhat dull, person who can be entrusted not to make a mistake
with a task.",A safe pair of hands
"A
'sea change' is a radical change or transformation.",A sea change
"A
shot in the arm is a stimulus.",A shot in the arm
A welcome sight;  someone or something you are glad to see.,A sight for sore eyes
"The expression 'a skeleton in the closet' refers to a secret source of shame, potentially ruinous if exposed, which a person or family makes efforts to conceal.",A skeleton in the closet
To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem. ,A sledgehammer to crack a nut
A 'sorry sight' is a regrettable and unwelcome  feature. Now also used to mean something or someone of untidy appearance. ,A sorry sight
A 'stitch in time' is a timely effort that will prevent more work later.,A stitch in time saves nine
"A
short distance.",A stone's throw
The experience of beauty is blissful and lasting.,A thing of beauty is a joy forever
Something that is insignificant or worthless.,A tinker's damn
An unexpected piece of good fortune. ,A turn up for the books
The proverbial expression 'a watched pot never boils' refers to the feeling time seems to go slower when you are anxiously waiting for something to happen.,A watched pot never boils
'A wolf in sheep's clothing' is someone who hides malicious intent under the guise of kindliness. ,A wolf in sheep's clothing
"""A woman needs a man like a fish needs a bicycle"" is a
feminist slogan, humorously expressing the view that a woman can live her life perfectly well without a man. ",A woman needs a man like a fish needs a bicycle
The  proverb 'A women's place is in the home' is now rarely used with its original literal meaning. These days it is more often used ironically if someone suggests that women are best suited to domestic employment.,A woman's place is in the home
Join a conversation in which another is speaking continually and leaving little opportunity for others. ,A word in edgeways
"I
would like to talk to you.",A word in your shell-like
The expression 'A young man's fancy' alludes to  light  thoughts of romantic love.,A young man's fancy
The highest quality.,A1 at Lloyds
"'Abandon all hope ye who enter here' is the
 supposed inscription at the entrance to Hell.",Abandon all hope ye who enter here
"The name of the well-known Christian hymn, written by Henry
 Francis Lyte in 1847. A plea for God to be always present, in one's life and through death. ",Abide with me
Change direction.,About face
Change direction.,About turn
"Openly; without
any trickery.",Above board
"Something which  is ""above my pay grade"" is something  which is above your level of professional responsibility. It is used most often when someone is declining to take on work for which they aren't qualified or paid.",Above my pay grade
An exclamation used by conjurers when performing  tricks.,Abracadabra
The missing of a person or thing increases the desire for it.,Absence makes the heart grow fonder
An absent-minded professor is  someone (usually male) who is habitually inattentive or forgetful and distracted  to the extent of being unaware of his immediate surroundings. ,Absent-minded professor
Absent without permission.,Absent without leave
"The proverbial saying 'power corrupts; absolute power corrupts absolutely'  conveys the opinion that, as a person's power increases, their moral sense diminishes.",Absolute power corrupts absolutely
"An 'accident of birth' is the consequence of the circumstances into which a person is born. For example, a prince will probably have a different life to a pauper or an Inuit to a Kalahari bushman. The term may also be applied to some innate talent that a person has by virtue of the DNA they inherited from their parents. For example, ""LeBron James' success at basketball was, in part, due to the accident of birth of growing to 6 feet, 8 inches tall"".",Accident of birth
"Deliberately,
but feigning accident.",Accidentally on purpose
"Things sometimes go wrong, despite our best efforts.",Accidents will happen
In accord with the highest authority; in accord with a strict set of rules.,According to Hoyle
"Something
that can supply a sure victory when revealed.",Ace in the hole
"An Achilles' heel is a 
weak or vulnerable factor - especially one where all other components are strong.",Achilles' heel
"A
sure test, giving an incontestable result.",Acid test
Acronyms are words which are formed from the initial letters of other words. ,Acronyms
Embracing all classes or categories without exception.,Across the board
The pond refers to the North Atlantic Ocean. Going across the pond refers to travel  between Europe (especially the UK) and the Americas (especially the USA).,Across the pond
"An
act which is accepted legally as being outside human control.",Act of God
Behave foolishly. ,Act the giddy goat
"A dynamic, macho type of man. ",Action man
This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,Actions speak louder than words
Water.,Adam's ale
"The proverbial saying 'adversity makes strange bedfellows' suggests that, in times of trouble, people who wouldn't normally associate with each other may form an alliance.",Adversity makes strange bedfellows
"'After the fact' means after an action is performed; in legal parlance, after a crime has been committed.",After the fact
An 'aga saga' is a genre of popular fiction usually set in comfortable middle-class English homes.,Aga saga
To be 'against the clock' is to be in competition with the passage of time; to be hurrying to accomplish something within a set time.,Against the clock
"Against
one's inclination or natural tendency.",Against the grain
"Older people should be given precedence over the younger and, by implication, more beautiful. This is normally used jocularly, often by the older person in order to flatter the younger. ",Age before beauty
Shakespeare has his character Enobarbus give the opinion that Anthony will never become bored with  Cleopatra and that she grows more attractive to him as she ages. ,"Age cannot wither her, nor custom stale her infinite variety"
Set aside an irreconcilable difference in order to maintain a civil dialogue.,Agree to disagree
"To help and encourage, usually in the commission of a crime or anti-social act. ",Aid and abet
"'To aid memory' - a literal translation
from the French.",Aide-m̩moire
The act of greeting (or sometimes of farewell) by making a kissing gesture into the air while brushing cheeks - or in a near miss. ,Air kiss
"A gesture with raised pairs of fingers, when making a statement, to simulate quotation marks. It indicates that what is being said is ironic or otherwise not to be taken verbatim.",Air quotes
"From the Italian, literally translated as 'in the fresh'. In English, used to mean either 'in the open air' or, where specifically related to mural painting, 'on fresh plaster'. ",Al fresco
"The dramatic line 'Alas, poor Yorick! I knew him, Horatio' comes from Shakespeare's Hamlet. Hamlet speaks the line in a graveyard, as a meditation on the fragility of life, as he looks at the skull of  Yorick. ","Alas, poor Yorick! I knew him, Horatio"
'Two peas in a pod' are two identical items or people.,Alike as two peas in a pod 
Definitely alive; lively and active. ,Alive and kicking
"To be all agog is to be excited, in high spirits; in eager expectation. ",All agog
'All and sundry' means 'every one of'; 'containing all different types'.,All and sundry
In a state of confusion and disorder. ,All at sea
"Clumsy, unable to hold things steadily in one's hands. 'All fingers and thumbs' is how we might describe ourselves during a temporary loss of manual dexterity. ",All fingers and thumbs
It was unintelligible to me. ,All Greek to me
All things having been taken into account. ,All in all
In effect; for all practical purposes.,All intents and purposes
'All hat and no cattle' is an American expression referring to someone who is all talk but no action. It is also used to describe someone who presents the appearance of something they aren't.,All hat and no cattle
"'All mouth and no trousers' means 'loud-mouthed and boastful, but lacking in substance'.",All mouth and no trousers
'All of a sudden' means suddenly. ,All of a sudden
"Everything, or everyone, is accounted for.",All present and correct
"'There is no such thing as bad publicity' is the notion that all mentions in the media aid a person's cause, even if they put them in a bad light.",All publicity is good publicity
Full of verve and vitality; more recently - with many features or attributes.,"All singing, all dancing"
'All systems go' is what someone might say when all systems are functional and ready to proceed. ,All systems go
The proverbial saying 'All that glitters is not gold' means that not everything that is shiny and superficially attractive  is  valuable.,All that glitters is not gold / All that glisters is not gold
Not at any price.,All the tea in China - Not for 
"A literal meaning, advocating patience.",All things come to those who wait
Nothing lasts forever.,All things must pass
A restaurant advertising slogan (usually followed by a price). ,All you can eat
"The proverbial saying 'All's fair in love and war' expresses the idea that, like war, where any strategy is accepted, affairs of the heart are also  no-holds-barred contests.",All's fair in love and war
The proverbial saying 'All work and no play makes Jack a dull boy' expresses the idea that working constantly and making no time for enjoyment makes one bored and boring.,All work and no play makes Jack a dull boy
A second self. , Alter ego
Lager.,Amber nectar
'An accident waiting to happen' is a person or thing likely to cause trouble or harm because of ongoing carelessness or neglect.,An accident waiting to happen
"In the story of Aladdin, an Aladdin's Cave is a magical cave full of gold, silver, and jewel-bearing trees. In the more commonly used  figurative meaning it is a place of great riches, a treasure trove.",An Aladdin's cave
"A
burden which some unfortunate person has to carry, by way of retribution for doing something wrong.",An albatross around one's neck
"The proverb 'An apple a day keeps the doctor away' has a straightforward literal, and very probably correct, meaning - that the eating of fruit maintains good health.",An apple a day keeps the doctor away
"A large, possibly exorbitant, amount of money. ",An arm and a leg 
"To have an axe to grind is to have a dispute to take up with someone or, to have an ulterior motive; to have private ends to serve.",An axe to grind
The English dictum that a man's home is his refuge. ,An Englishman's home is his castle
"The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice.","An eye for an eye, a tooth for a tooth"
A misfortune.,An ill wind 
"The
 'offer' being 'do as I say or I'll kill you'.",An offer he can't refuse
"A
dollar.",An Oxford scholar
"Said in preparation of getting underway, especially of a ship. ",Anchors aweigh
"Often applied to the British 'kitchen sink' playwrights of the 1950s. Also anyone, particularly young men obviously, who rails against the establishment. ",Angry young man
A small child. Also applied to small dogs. ,Ankle biter
A horrible year.,Annus horribilis
"The proverbial phrase 'another day, another dollar' is a weary resignation that the day to come will be one of tedious work, the only benefit being the small amount of payment at the end of it. ","Another day, another dollar"
"To have 'another think coming' is to be greatly mistaken. The phrase is usually spoken by an antagonist as 'you have another think coming'; the implication being that one will shortly be obliged to adopt a different viewpoint, either by the presentation of indisputable evidence, or by force. ",Another think coming
"The apple of one's eye originally referred to the central aperture of the eye. Figuratively it is something, or more usually someone, cherished above others. ",Apple of my eye - The 
"Tidy
and well-ordered.",Apple pie order
"The
victim of a trick played on April 1st, or the trick itself. ",April fool
Music with an instant appeal but with little lasting significance.,Arm candy - see ear candy
"A stance, with the hands on the hips and elbows directed outwards. ",Arms akimbo
"'Ars longa, vita brevis' is the translation into Latin of part of a quotation by the Greek 'Father of Medicine' - Hippocrates.
","Ars longa, vita brevis"
"Pertaining to, or having an interest in, the arts - often pretentiously and affectedly so. ",Arty-farty
Literal meaning.,Asap - As soon as possible
NO INFORMATION,As X as Y
'Two peas in a pod' are two identical items or people.,As alike as two peas in a pod 
"Completely
          bald.",As bald as a coot
" 'As black as Newgate's knocker' means pitch
          black.",As black as Newgate's knocker
 The simile 'as bold as brass' means 'very bold; blatant.,As bold as brass
Entirely or very brown; often referring to a suntanned skin. ,As brown as a berry
"Very busy. Of all creatures, the bee is the most synonymous with busyness.",As busy as a bee
 The simile 'as busy as a one-armed paperhanger' means 'frenetically busy'.,As busy as a one-armed paperhanger
Very cold.,As cold as any stone
'As cool as a cucumber' means calm and unruffled.,As cool as a cucumber
Very cute.,As cute as a bug's ear
To be 'as daft as a brush' is to be very stupid or foolish.,As daft as a brush
Unambiguously and unequivocally dead.,As dead as a dodo
"To be 'as dead as a doornail' is to be utterly dead,  devoid of life (when applied to people, plants or animals) or finished with, unusable (when applied to inanimate objects). ",As dead as a doornail
Two things that are  very different from each other. ,As different as chalk and cheese
Very easy.,As easy as pie 
Very easy.,As easy as taking candy from a baby
Very fast.,As fast as greased lightning
"Extremely fine, that is, delicate and slender.",As fine as frog's hair
"To be as fit as a butcher's dog is to be very fit and bouncing with energy. This follows the same pattern as other 'as X as Y' similes, where Y is the the thing which typically displays the property X. For example, 'as cold as ice'.",As fit as a butcher's dog
To be 'as fit as a fiddle' is to be very fit and well.,As fit as a fiddle
Well-behaved and obedient.,As good as gold
If something is 'as good luck would have it' it has come about by some fortunate chance.,As good luck would have it
"Regular readers of this mailing list will know that it has often featured 'as x as y' similes. These provide a rich source of colour in the language and most English speakers will be familiar with hundreds of them (see this list). The term's usual format makes a link between some creature or object, say 'a dodo', and a well-known property of the same, that is, 'dead', and that applies to virtually all examples of this type of simile, e.g. 'as black as coal/pitch/the ace of spades', 'as white as a sheet/ghost/snow'. However this pattern breaks down when it comes to happiness. Larks and dogs with two tails fit the bill as creatures known to be happy but the three best-known 'happy' similes are 'as happy as a clam/a sandboy/Larry'. It is not now common knowledge as to why clams, sandboys or Larry should have been happy. For the phrases to have been adopted into the language in the first place such knowledge must have been widespread at some time. Let's see if we can resurrect it. ",As happy as...
Very happy and content.,As happy as a clam
Very happy and content.,As happy as a sandboy
"Very
happy.",As happy as Larry
"Highly excited, or under the influence of drink or drugs.",As high as a kite
Very enthusiastic.,As keen as mustard
"Completely
          mad. This is now commonly understood to mean crazy, although the original meaning is unclear and may have meant annoyed. ",As mad as a hatter
"To be 'as mad as a March hare' is to be completely
              mad.",As mad as a March hare
Very merry.,As merry as the day is long
"Neat, tidy, well-ordered. ",As nice as ninepence
"Very
old.",As old as Methuselah
Exceedingly old.,As old as the hills
"Very
pleased.",As pleased as Punch
Entirely pure.,As pure as the driven snow
"This expression refers to something that is odd
    or unusual. It is also used to mean homosexual.",As queer as a nine bob note
Completely safe and secure.,As safe as houses
To be 'as snug as a bug in a rug' is to be very comfortable and cosy.,As snug as a bug in a rug
Completely straight.,As straight as a die
"In a direct line, without any of the detours caused by following a road.",As the crow flies
Close friends with; sharing  confidences.,As thick as thieves
Exceedingly stupid.,As thick as two short planks
"Pure white. What better to symbolise whiteness than snow? Not only the intensity of colour on a bright winter's day, but also the purity of untrodden snow is summoned up by the simile. Shakespeare used this association to good effect in as pure as the driven snow. ",As white as snow
The phrase 'ashes to ashes' expresses the notion that we come from dust and we return to dust. ,Ashes to ashes dust to dust
Literal meaning.,Ask a silly question and you'll get a silly answer
"'For whom the bell tolls' is a quotation from a work by John Donne, in which he explores the interconnectedness of humanity.",(Ask not) for whom the bell tolls
'Hasta la vista' translates from the Spanish as 'see you later'.,"(H)asta la vista, baby"
In dispute with.,At loggerheads
'At one fell swoop' means 'suddenly; in a single action'.,At one fell swoop
To be at someone's beck and call is to be entirely subservient to them; to be responsive to their slightest request.,At one's beck and call
To be at your wit's end is to be perplexed; unable to think what to do.,At one's wit's end
"To be at sixes and sevens is to be at a  state of confusion and disorder, or of disagreement between parties.",At sixes and sevens
The proverbial phrase 'attack is the best form of defence' expresses the opinion that a pre-emptive strike is the best way to defend yourself.,Attack is the best form of defence
"To foreshadow a successful outcome, indicated by some circumstance or event.",Augur well
"The Anglicized version of 'auld lang syne', which means old long-since or old long-ago. ",Auld lang syne
Not facing reality; in a dream-world.,Away with the fairies
"Feelings of depression or anxiety, experienced by some mothers following childbirth.",Baby blues
"A person born during the temporary peak in the birth-rate that occurred in several countries following WWII, notably the USA and the UK. ",Baby boomer
The father of an infant who is not married to or in an exclusive relationship with the mother.,Baby father
A lonely forsaken place.,Back of beyond - The 
"Someone
who criticizes from the sidelines.",Back-seat driver
"Place a bet on all the horses in a race, except one.",Back the field
"A
return to previously held values of decency.",Back to basics
'Back to square one' means back to the beginning; start again.,Back to square one
Start again on a new design  or plan after the  failure of an earlier attempt.,Back to the drawing board
"One
who works in anonymity in an organization while others take on more public roles.",Backroom boy
Shy or reluctant to do something. Here 'backward' means shy or unwilling; 'come forward' means present oneself into view.,Backward in coming forward
"To earn money, particularly for one's family; to be successful, especially financially successful. ",Bacon - Bring home the
To be in disgrace or out of favour.,Bad books
Someone or something that disappoints expectations. ,Bad egg
"A
'bad hair day' originally had a literal meaning - a day on which one's hair seems unmanageable. The expression's meaning has been extended to mean a day when everything seems to go wrong.",Bad hair day
"The proverbial saying 
'bad money drives out good' can be understood literally. It is known as Gresham's Law, which is that money which is labelled as 'bad' will harm the prospects of money that is labelled as 'good'. Of course, we need to know what bad and good money are to understand that (see below).",Bad money drives out good
"'Bada-bing' is an exclamation suggesting that something is going to happen, easily and predictably - something like  'Hey Presto!'.",Bada-bing 
Harass or persecute.,Badger to death
One's bag and baggage is the sum total of  one's possessions.,Bag and baggage
"A baker's dozen is 13 (or, more rarely, 14). ",Baker's dozen
"The
distribution of power between nations in such a way that no single state has dominance
over the others.",Balance of power - The 
"The
difference between the value of the imports and exports that a nation makes.",Balance of trade - The
"Completely
          bald.",Bald as a coot
"There are various meanings of the phrase 'bale-out', including 'making an emergency parachute escape from an aeroplane' and 'ladling water from a boat'. ",Bale out/bail out
"A 20th century slang term, meaning wife.",Ball and chain
The US expression 'balling the jack' is used with several meanings:,Balling the jack
"A ballpark figure is an estimate, within a reasonable range of accuracy.",Ballpark figure
"To
argue persistently.",Bandy words 
The agent of ruin or woe.,Bane of your life
Talk repetitively and boringly about something.,Bang on about
"An
ordeal or martyrdom. More recently, a soldier's first experience of battle.",Baptism of fire
Said of something or someone so unappealing that one wouldn't want to go anywhere near.,Barge-pole - Wouldn't touch with a 
The proverb 'a barking dog never bites' isn't really about dogs. It puts forward the opinion that people who are loud and threatening don't back up their threats with action.,Barking dogs never bite
Insane; intensely mad.,Barking mad
Making a mistake or a false assumption in something you are trying to achieve.,Barking up the wrong tree
The source of abundant fun and enjoyment.,Barrel of laughs
"An
infirm or failing person or thing - unable to  function properly. Originally
this referred to soldiers who had lost arms and legs and had to be carried by others. More recently it has been used to denounce a failing organisation or scheme and is less often applied to people. ",Basket case
Breathing that is subdued because of some emotion or difficulty. ,Bated breath
Crazy; eccentric. ,Bats in the belfry
Prepare for trouble.,Batten down the hatches
General mayhem; a free-for-all fight.,Battle royal
"Ostensibly, a warning that something dangerous is imminent. In reality, this is usually said with comic intent. The thing being warned of is more likely to be mildly unwelcome than actually dangerous; for example, ""That fierce librarian was asking about your overdue books - be afraid, be very afraid.""","Be afraid, be very afraid"
To be captivated; to be held spellbound by pleasing qualities.,Be enthralled
"'Be still, my beating heart' is an expression of excitement when seeing the object of one's romantic affections.","Be still, my beating heart"
Hard up; in a bad situation. ,Beam ends - On your
"A disparaging term for an accountant, or anyone   excessively concerned with  statistical records or accounts. ",Bean counter
Partners engaged in sexual intercourse.,Beast with two backs
Withdraw rapidly.,Beat a hasty retreat
To prevaricate and avoid coming to the point.,Beat around the bush
Turn to peaceful pursuits and away from war.,Beat swords into ploughshares
"To beat the living daylights out of someone is to beat them severely, to the point where they lose consciousness. ",Beat the living daylights out of someone
'Beauty in the eye of the beholder' has a literal meaning - that the perception of beauty is subjective - what one person finds beautiful another may not. ,Beauty is in the eye of the beholder
Physical beauty is superficial.,Beauty is only skin deep
To be at someone's beck and call is to be entirely subservient to them; to be responsive to their slightest request.,Beck and call
The expression 'a bed of roses' describes a pleasant or easy situation.,Bed of roses
"Preoccupied
or obsessed with an idea.",Bee in your bonnet
"A type of cuisine that combines both meat and seafood (especially lobster and steak), or restaurants that serve such cuisine.",Beef and reef
A misheard lyric.,Beelzebub has a devil for a sideboard
"When someone says ""been there, done that"" they mean that whatever is being talked about is commonplace to them, to the point of boredom.","Been there, done that"
'Beer and skittles' is shorthand for a life of indulgence spent in the pub.,Beer and skittles
"Having your 'beer goggles' on means you are sexually attracted to someone, who you wouldn't normally find attractive, because you are drunk.",Beer goggles
Go directly towards.,Bee-line - make a bee-line for 
If something is said to be the bee's knees it is excellent - the highest quality.,Bee's knees - The 
"With a furrowed or prominent brow, or worried expression. Formerly, with large or bushy eyebrows.",Beetle-browed
"'After the fact' means after an action is performed; in legal parlance, after a crime has been committed.",Before the fact
In a very short time; suddenly. ,Before you can say Jack Robinson 
This is one of those rare phrases in which the meaning is more debated than the origin. ,Beg the question
To defy or go beyond what is believable. ,Beggar belief
If you request something to be given you should not question what you are given. ,Beggars can't be choosers
'Behind every great man there's a great woman' has a straightforward literal meaning. The implication behind the saying is that the great woman is often ignored or taken for granted.,Behind every great man there's a great woman
To be 'behind the eight ball' is to be in a difficult position from which it is unlikely you can escape.,Behind the eight ball
"The phrase 'bell, book and candle' is the final line of an incantation denoting excommunication from the Catholic church.","Bell, book and candle"
"To hang a bell around a cat's neck to provide a warning. Figuratively, the expression refers to any task that is difficult or impossible to achieve.",Bell the cat
The most attractive woman at a social gathering. ,Belle of the ball
"An unfair, underhand tactic.",Below the belt
Common or lowly. See also 'beyond the pale'.,Below the salt
Something that is described as having 'all the bells and whistles' is one fitted with attractive additional features.,Bells and whistles
'Belt and braces' means being careful -  taking double measures to avoid risk. It alludes to the use of both belt and braces to hold up a person's trousers.,Belt and braces
"'Be quiet'. Also, since the introduction of car seat belts - an injunction to fasten one's belt.",Belt up
One's best clothes.,Best bib and tucker
The most carefully prepared plans may go wrong.,Best laid schemes of mice and men - The 
Bet your last coin.,Bet your bottom dollar
My husband or my wife. ,Better half 
"To arrive or do something later than expected isn't good, but it is better than not at all.",Better late than never
The proverbial saying 'It's better to have loved and lost than never to have loved at all' has a straightforward literal meaning.,Better to have loved and lost than never to have loved at all
"In difficulty, faced with a choice between two unsatisfactory options.",Between a rock and a hard place
"In difficulty, faced with two dangerous alternatives.",Between the Devil and the deep blue sea
"To be 'between two stools' is to fail, due to being unable to choose between two alternatives.",Between two stools
"The phrase 'between you, me and the bed-post' is used when divulging a secret; something that only the speaker and the listener should hear.","Between you, me and the bed-post"
Don't trust your enemies.,Beware of Greeks bearing gifts
The Ides of March is just the 15th of March.,Beware the Ides of March 
"If something is said to be 'beyond a shadow of a doubt' the speaker is certain that it is true, with no possibility of ambiguity.",Beyond a shadow of a doubt
Outside the range of what is normally considered  believable. ,Beyond belief
Beyond our understanding.,Beyond our ken
To be 'beyond the pale' is to be unacceptable; outside agreed standards of decency.,Beyond the pale
"
The King James Version of the Bible has been enormously influential in the development of the English language. It ranks with the complete works of Shakespeare and the Oxford English Dictionary as one of the cornerstones of the recorded language. After Shakespeare, the King James, or Authorized, Version of the Bible is the most common source of phrases in English. The King James in question was James I of England and James VI of Scotland. He didn't write the text of course, he merely authorized it, hence the name by which the book is best known in the UK (King James Version, or KJV, being more commonly used in the USA). 

",Biblical phrases
"Nickname
  for New York, USA.",Big Apple - The 
The most important person.,Big cheese - The 
"Nickname
  for New Orleans, USA, referring
  to the easy-going, laid back attitude to life that jazz musicians and local residents indulge in there.",Big Easy - The 
Someone who is important but only within a limited area of influence.,Big fish in a small pond - A
"Everyone is preyed up[on by someone, who in turn has someone preying on them.",Big fleas have little fleas upon their back to bite 'em
"An important person. Now usually spelled as single word, 'bigwig'.",Big wig
More for your money.,(A) bigger bang for your buck
