company,slogan
'A riddle wrapped up in an enigma' is a puzzle - something especially difficult to understand or to solve.,A riddle wrapped up in an enigma
"Hult International Business School, MBA, Master program, undergraduate",Get plugged in to the world.
"Howardsgate, marketing for professional services firms","Vision, passion and marketing excellence."
Academy Bus,We know the way!
McLean Mortgage Corporation,Lending as it should be.
Cardiff Airport,The opportunity is yours.
"Siebel Systems, CRM (Customer Relationship Management) software",Ensuring Customer Success.
"A reference to homosexual love, although Oscar Wilde
 denied this in his defense of the charge of gross indecency.",Love that dare not speak its name - The
Sherwin-Williams Paints,"Ask how, ask now, ask Sherwin-Williams."
Said to someone who is unkempt and whose hair needs brushing.,Dragged through a hedge backwards
Hands in Demand Therapeutics Inc.,Helping you feel better!
"HolidayTaxis.com, online airport transfer service",The smarter way to arrive.
"Jacob's Creek, Australian wine brand",Jacob's Creek. Say when.
"Fire Island water taxi, beach to beach marine transportation",Beach to beach just minutes away.
Cape Karoo mineral water in South Africa,Cape Karoo. Pure Africa.
To be 'beyond the pale' is to be unacceptable; outside agreed standards of decency.,Beyond the pale
Cypress Grove Chevre / Lamb Chopper sheep cheese,Born to be mild.
"The Hong Kong Polytechnic University, faculty of business",Qualified for the real world.
Intel microprocessors,Intel inside.
"Chapman Opticians, eye care practices in England",Partners in eye care.
There are various interpretations of the meaning of 'a friend in need is a friend indeed'.,A friend in need is a friend indeed
Center for Speech and Language Disorders in Lombard,Therapy that makes a difference.
Align Health Centre in Newmarket,Align your health.
Burn Energy Drink,What do you burn for?
"Cedar Springs bottled water, Canada",This bottle will change your life.
Shear Magic Pet Salon in Hilo,Where your pet is the star!
Carnival cruise lines,Carnival. The fun ships.
"Grey Goose Vodka, France",Grey Goose. The world's best tasting vodka.
Tena lady pads,For millions of women the secret is TENA.
Bailley packaged drinking water in India,I want my Bailley!
Regis Hair & Beauty Salons across UK,Your look. Our expertise.
Concord Flower Shop,Shouldn't your flowers be unique too?
Not at any price.,All the tea in China - Not for 
To  change one's mind or action again and again.,Chop and change
Quest PR Agency in Harrogate,Fusing traditional and digital PR.
ABN AMRO bank,ABN AMRO. Making more possible
An expression of emphatic disbelief.,In a pig's eye
"Mount Franklin, Australian bottled spring water",Add a little sparkle.
NO INFORMATION,Misquotes
"There are many sources for the phrases and sayings that colour our language. One important source is the Bible, from which we get 'by the skin of your teeth', 'from strength to strength' and many more. Whether we view these as English phrases is debatable as the first English translation of the Bible was a thousand years or more after the writing of the original biblical texts. Wycliffe's translation, circa 1392, is the first version that brought the Bible to the English-speaking world - apart from that small number of scholars who had read the previous Latin versions and discussed them in English. Whatever we think about the Englishness of translated biblical phrases even they pale next to the single most prolific coiner of English - Shakespeare. To use his own words from All's Well That Ends Well:",Walter Scott (phrases coined by) 
Reality HR Consultants in Basingstoke,Business driven. People focused.
"KOA, Kampgrounds of America, franchise chain of campgrounds and RV parks in North America",Great people. Great camping.
"The Times newspaper, UK",Join the debate.
"Eden Fitness, luxury health and fitness club in London",As individual as you are.
"Pilgrims Choice, cheddar cheese brand in England","When you're choosing cheddar, make it Pilgrims Choice."
A literary genre in which magical features and storylines appear and are accepted as everyday reality. ,Magical realism
"Pelican Outdoor Advertising, billboard company",Need some space?
"Redwood Creek, Californian wine",Satisfy your taste for Adventure!
"Vivid Racing, online automotive tuning and auto parts shop","Vividly designed, engineered for speed."
"KD Web, web design and development agency",Digital thinking.
"Uptown Studios, visual communications firm in Sacramento",Designs for social change.
Guinness Irish Stout,It's got to be Guinness
Yikes! The Original Multi-Vitamin Freeze Pops for kids,Yikes! The COOLEST way to take your vitamins!
"Devondale, Australian butter and butter blends",Devondale. You deserve it.
Rexon power tools,Creative. Effective.
Discover Credit Card,We treat you like you'd treat you.
Living after the time you would have expected to have died.,Living on borrowed time
UMS Tuning,Passion. Performance. Speed.
Entirely or very brown; often referring to a suntanned skin. ,Brown as a berry
A type of slang in which  words are replaced by  words or phrases they rhyme with. ,Cockney rhyming slang
City Taxi in Brantford,Anywhere anytime... We're only a call away.
Just in time; at the precise moment.,In the nick of time 
Huggies Ultratrim Baby Diapers,No leak is a good leak.
"In a listless, languid manner; without interest.",Lackadaisical
"Kumho, South Korean brand of tires",Race proven performance.
"Vital Europe, cosmetic dental clinics in Europe","Spend more on yourself, less on your dentist."
The Port of Virginia,Stewards of tomorrow.
"Alliance Wireless Communications, telephone answering service",Above and beyond the call.
"Professional Roofing Services, roof repair & replacement in San Diego",We've got you covered!
"Giani Hair Salon in Alexandria, VA",We know hair.
Outline low fat margarine,Diet. What diet?
Countrywide Home Loans,No one can do what Countrywide can.
"Heartland Express, truckload carrier services",It takes the heart of a trucker to move this country.
"A much vaunted discovery, which later turns out to be illusory or worthless. ",Mare's nest
"People of mature years, who are expected to know better, often do outrageously foolish things, especially regarding romantic liaisons.",There's no fool like an old fool
Sheridan College in Ontario,Get creative.
"Castlepoint Shopping Park, UK","If you know what you want, get to the point."
Washington Dulles International Airport,Dulles has it all.
"An unfair, underhand tactic.",Below the belt
When a decisive point at which one's future course is determined.,When it comes to the crunch
"'Something nasty in the woodshed' is a traumatic but unspecified incident in someone's experience, or something  shocking or distasteful that has been  kept secret.",Something nasty in the woodshed
"Olfa, brand of knives, scissors and other cutting tools",Olfa. Best made cutting tools in the world.
Sealink,Your shortest road to Ireland.
The experience of beauty is blissful and lasting.,Thing of beauty is a joy forever - A 
Cabot cheddar cheese,Cabot. World's best cheddar.
Answering Service United,We promise to answer!
Valley Massage Therapy Clinic in Kentville,Where art & the science of massage come together.
"BigEye, advertising agency in Orlando",Building brands with purpose and passion.
Become angry; lose self-control.,See red
Sun Station Tanning Studios,Charleston's tanning destination!
"Purely Mortgages, broker in Halifax",Making dreams a reality!
Frank's RedHot Cayenne Pepper Sauce,Frank's RedHot. A thrill a bite.
Executive Car Leasing,Nobody leases for less.
"Woodbridge Winery and wine brand, California",Woodbridge. Taste our small winery tradition.
Treasures Giggles Nappies,They're all you need for everyday.
"Midtown Plaza, shopping mall in Saskatoon, Canada",Midtown Plaza. Fashion first.
Austrian Airlines,Austrian. Fly with friends.
"Waterstone's book stores, the UK's leading bookseller",What's your story?
Rockstar Energy Drink,Party like a Rockstar.
Bridgestone tires,Bridgestone. Passion for excellence.
Cleveland Hopkins International Airport,Travel smart. Travel well.
"FastPrint, flyer & leaflet printing company",Quality printing. Delivered fast.
AMP Energy,Mmmm. Energy.
"Ipsos MRBI, market research agency in Ireland",The compass for the market place.
Merck Serono Pharmaceutical Company,"Living science, transforming lives."
Listerine Cool Mint,As easy as rinsing. As effective as flossing.
"Originally the term referred just to the USA
 (see origin below), but now is understood to mean the most industrially
 developed, wealthy and powerful nations of the world. These
 countries are often referred to loosely as 'The West', although
 the First World certainly includes Japan and Australia.",First World
"Melitta, German brand of coffee, coffee filter paper and coffee makers",Coffee indulgence.
"Alex Translation Services, Minnesota",We help you speak to the world.
Rally's and Checkers Drive-In Restaurants,Crazy good food.
'When the shit hits the fan' alludes to the messy and hectic consequences brought about by a previously secret situation becoming public.,When the **** hits the fan
"A
hopeful attempt.",Shot in the dark
The expression 'ethnic cleansing' is a  euphemism for the ruthless removal or killing of an ethnic or religious group from areas that have been taken over by opposing forces. ,Ethnic cleansing
"Romanov vodka, India",Romanov. As you like it.
Saifee Hospital in Mumbai,When I fall sick it is he who cures me.
"Normally with these meanings and origins the meaning is well-understood or self-evident and the interesting aspect is how, where and when the phrase originated. This one is a little different - it's the meaning that is generally not understood. ", Exception that proves the rule - The 
Yorkshire black tea,Try it. You'll see.
Northern Leasing Systems,Excelling at service. Exceeding expectations.
'Pecking order' is the name given to a form of hierarchy in which the most dominant takes precedence.,Pecking order
"Older people should be given precedence over the younger and, by implication, more beautiful. This is normally used jocularly, often by the older person in order to flatter the younger. ",Age before beauty
To bowl a maiden over is to sweep a woman off her feet with a romantic gesture.,Bowled a maiden over
"Mary-Jane Sharratt, homeopath in Sussex",Restoring health naturally.
Bolton Hospice,Caring from the heart.
Tequila Gran Centenario,The calling.
Gatorade Sports Drink,Gatorade. The sports fuel company.
"Red Rose Tea, Canada",Savor life's moments.
"Celebration Cakes, little cake shop in Tamworth, England",It's not just a piece of cake. It's a masterpiece of cake.
Pooch Palace Grooming Salon,Treat your pet like royalty.
The economic factors affecting the price and availability of a commodity or product in a free market ,Market forces
Borders,Once upon a time at Borders.
Don't be hasty in evaluating one's assets.,Don't count your chickens before they are hatched
Huemor web design company,We create memorable digital experiences.
Ardent Dental Care in Barrow-in-Furness,Look great - feel great!
Listerine Mouthwash,You know your mouth's clean with Listerine.
"The so-called law is usually expressed as 'If anything can go wrong, it will'.",Finagle's Law
Gentech Dentist,It’s all about you.
"Visonic, electronic wireless home security systems",Visonic. For a smart and secure lifestyle.
"Ekstra Bladet tabloid newspaper, Denmark",What would you do without Ekstra Bladet?
Iowa Veterinary Wellness Center,Your pet. Our passion.
"Naomi House and Jacksplace, hospices for children and young people","Care and support for good days, difficult days and last days."
McShan Florist in Dallas,Our promise: 100% fresh guaranteed.
Imperial margarine,Imperial. Love every bite.
Time magazine,Understanding comes with TIME.
Cream Interior Design Company,Prepare to be inspired.
"CHOCS, Coffee House on Cherry Street in Tulsa, Oklahoma",We're not just selling coffee.
Renaissance Hotels,Relax. You're at Renaissance.
"DFW, Dallas/Fort Worth International Airport",The world connected.
"Nirvana Family Fitness in Bristol, Philadelphia",For those who want to look better and feel better.
Cataloochee Ski Area in North Carolina,Where family fun begins.
"Superdrug, health and beauty retailer",That Superdrug feeling.
Pace Law School,Turning passion into practice.
The expression 'the writing is on the wall' is used whenever an inevitable result or imminent  danger has become apparent. ,Writing is on the wall - The 
Novotel,Novotel makes my day.
"Hennessey Performance, tuning company, high performance upgrades",Making fast cars faster since 1991.
"Korunni mineral water, Czech Republic",Perfectly balanced with no bubbles added.
Hemeling Lager brand,Wouldn't you rather be Hemeling?
Advertising Standards Authority in the UK,Keeping advertising standards high.
Just in time; at the precise moment.,(In the) nick of time 
"Pall Mall Barbers, London",Traditional service in a modern manner.
"DFDS Seaways, passenger ferries & mini-cruises",Just sail away.
Posh Hair & Nails Salon in Norwich,Welcoming relaxed atmosphere.
"Sloane Rangers, or latterly just Sloanes or Sloanies are upper class and fashion-conscious but conventional young people, living in the more expensive parts of West London.",Sloane Ranger
Community Chiropractic Centers of Shorewood,Dedicated to wellness.
"Boursin, French cheese","Bread, Boursin, all is well."
Mother Energy Drink,The mother of all energy hits.
"Very
happy.",As happy as Larry
"Answering Advantage, virtual receptionist, answering, call center services",The answer you've been looking for.
Delta Air Lines,You'll love the way we fly.
Lifestyle Health &Fitness Centre in Nanaimo,Where fitness is a way of life.
Lifetime cheese,Come join our herd!
Holiday Motel & RV Resort in Hope,Where one day is never enough!
"Alexander Hall, mortgage broker in London",Straight talking mortgage advice.
Ridgewood Veterinary Hospital,"Hands that heal, hearts that care."
"Jay's brand of potato chips and other snack foods, US",Jays... can't stop eating 'em!
Cerebral Palsy Physiotherapy Centre,"Working together, unlocking potential."
Purple Pine PR in Bellville,We strive to be the best with integrity.
"Bridge Global Strategies, PR for startups and foreign companies in USA",A didit company.
Cathedral Dental Clinic in Cardiff,Caring for you & your smile.
Arm & Hammer Advance White,"It's the secret to deeper, better clean."
To 'let bygones be bygones' is to allow the unpleasant things that have happened in the past  be forgotten.,Bygones be bygones - Let
Grateful Pet Grooming Salon in Toledo,We're the bark of the town.
"Enviro-Pro, professional painting company in Littleton",On time. On budget. Guaranteed to last.
Barrie Taxi in Canada,The cabs you see everywhere.
Trans Canada Car Rental,Drive more for less!
"If it's said to be 'cold enough to freeze the balls off a brass monkey' it is very
cold indeed. ",Cold enough to freeze the balls off a brass monkey
G.J. Ford Bookshop,Nothing reads like a real book!
"Verse
 from a nursery rhyme.","Ring a ring o'roses, a pocketful of posies, atishoo, atishoo, all fall down"
Top Dog Massage Therapy Clinic in Newcastle,Every dog deserves to be top dog!
"Firestone Deluxe Champion, motorcycle tire range",The safest longest-wearing tire ever built.
Union Home Mortgage Corp.,Promises kept.
"A
victory gained at too great a cost.",Pyrric victory
"Fergusson Driving School in Christchurch, New Zealand",The cool school!
A manufacturing/delivery process where a minimum of goods are kept in stock. Items are planned to arrive precisely at the time they are required for use or despatch.,Just in time
"From one place to another, haphazardly and to little purpose.",From pillar to post
"This expression refers to something that is odd
    or unusual. It is also used to mean homosexual.",Queer as a nine bob note
"AnswerPlus, answering service and inbound call center",Because your customers deserve a warm reception.
"Prodigal, branding agency",Creativity that creates business.
Peninsula Truck Rental in Redwood City,We'll get you there.
The bottom of the sea; the mythical resting place of drowned mariners.,Davy Jones' locker
Colgate Plax Antibacterial Mouthwash,Plax shifts plaque.
"Lucky Lake Hostel, Amsterdam",It may be just the place for you!
Huggies Pull-Ups Training Pants,My first underwear.
Blancolo Tattoo Studio in Glasgow,We make ink do more than you think.
Grinning broadly.,Grinning like a Cheshire cat
The Devil in human form. ,Devil Incarnate - The 
"Steak Escape Sandwich Grill, located at food courts in shopping malls",Everything else is just fast food.
Alpha Printing in Braeside,The first name in printing & packaging.
Gordon's gin,Mix Gordon's with Pleasure.
"The Mortgage Group (TMG), Canada",Think outside the branch.
"A
 cursory effort, for instance at painting or tidying up. It alludes to the perfunctory washing performed by children.",Lick and a promise
"Pilates for Life Studio in Paarl, South Africa","Intelligent exercise, remarkable results."
To wear your heart on your sleeve is to display your emotions openly.,Wear your heart on your sleeve
Omega watch brand,The link between the past and the future
Ace Alloy Wheels,Engineered for performance and built to inspire.
Tutoring Pros,Empowering people to believe.
CSwiss ice tea,For people with high expectations.
"Flavours Catering + Events Company, corporate and event catering in Australia","Fresh, delicious food & service that sparkles!"
Evamor natural alkaline artesian water,Evamor. Know. Better. Water.
Swiftwick Compression Socks,Do what moves you.
"Alex Lawrie Factors, factoring services",An asset to your business.
Miguelangelo Plastic Surgery Clinic in Mexico,Transform yourself in paradise!
The Port of Beaumont,Where Main Street meets the world.
"An unauthorized, bogus court. ",Kangaroo court
"Brand Iron, branding firm in Denver","Forging brands, driving revenue."
Turkey Hill iced tea,Turkey Hill. It's cold-fashioned.
Saved from great danger.,Out of the jaws of death
Schlitz Beer,Schlitz. The beer that made Milwaukee famous.
"Good Neighbor Pharmacy, cooperative network",Get to know your neighbor.
"National Holidays, tour operator, coach holidays in the UK, Europe",Your local coach holiday people.
Omega watch brand,Omega. The sign of excellence
Pacifica Naturopathic Medicine,Live healthy happy.
"Pampers, brand of baby diapers and training pants","Love, sleep & play."
"Go Answer, telephone answering service center",You call. We answer.
"Sekonda, UK’s leading watch brand",Sekonda. Beware of expensive imitations.
A very long time. ,Donkey's years
Mother Dairy butter,Smart mum's choice.
Mother B Green Cleaning Company of Chicago,Balancing your world and ours.
Salem Pet Supply,For the health of your pets.
Choko la Chocolate and Chocolate Candies in India,Deeply divine chocolates.
Kraft Singles Fat Free cheese slices,"Flavor like that, without the fat."
Crown Trade,Making life a shade easier.
"Safeguard Security Systems, supply, install and maintain of security systems in Scotland",Don't just protect it - safeguard it.
'Turkeys voting for Christmas' is used to describe people acting in a way that  is harmful to their own interests. ,Turkeys voting for Christmas
Camel Cigarettes,Where a man belongs
Draper hand and power tools,Draper. Made for the trade.
"The Littlest Cake Shop in Cabot, Arkansas",Eat more sweets.
"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good.",Good money after bad
"Fraikin, commercial vehicle fleet management and rental","You drive, we care."
Belolive cooking margarine,For baking and frying it's really worth trying.
"Clarks Shoes, England",Clarks. Shoes designed for living.
PetO,Australia's largest dog & cat store.
Kreiling,Everywhere you look there's a Kreiling roof.
Greens Health & Fitness Clubs,Where fitness comes naturally.
"Retreat Beauty Salon in Oadby, England",Relax. Revive. Restore.
One Flow Yoga Studio in Sacramento,"Strength, courage & love for life."
Posh Birds duck eggs,Brilliant for breakfast.
Holiday Inn,"Relax, it's Holiday Inn."
An unexpected piece of good fortune. ,A turn up for the books
"Lawrence & Schiller TeleServices, inbound and outbound call center","Passionate, relentless customer care."
Monterey Language Services in California,Bridging the world's languages.
"Nokian Tyres, Finland",Grip like never before.
Flora Pro-Activ spreads for cholesterol lowering,The UK's no.1 cholesterol lowering brand.
To go through a series of criticisms or harsh treatments at the hands of one's detractors.,Run the gauntlet
"Zebra Hall, on-line toy shop",The extraordinary toy shop.
Febreze Air Fresheners & Odor Eliminating Products,Discover the freshness.
La Provence Bakery & Boulangerie in Kanata,"What a real ""scratch"" bakery should be."
"Steamboat, ski area in Colorado",This is my Steamboat.
"Komand, management consulting firm",Help your business grow.
"Dr. Dana Anthony Yip, pediatric dentist in West Linn",Kids love us. Parents trust us!
McGeorge School of Law at University of the Pacific,What kind of lawyer will you be?
Blue Cult Jeans,Blue Cult. Uncompromising.
Lamers Bus Lines,The passenger professionals.
Febreze Air Fresheners & Odor Eliminating Products,It's that fresh.
"Pilgrims Choice, cheddar cheese brand in England",Pilgrims Choice. Well chosen.
Bring something to an end.,Ring down the curtain
"Directski.com, online ski tour operator",Affordable skiing for all.
"MBS, Manchester Business School",Forward thinking.
"In an ironic manner, not meant to be taken seriously. ",Tongue in cheek
Port of Portland,Possibility. In every direction.
"Baby Land, baby shop in Vaughan",The one stop shop for all your baby needs.
Expand your mind by use of hallucinatory drugs.,Blow your mind
"The Dominion Post, broadsheet newspaper",Making Twice the Noise
"SSPR, public relations firm",Public relations evolved.
Swanson broth,Replace water with flavor.
Benjamin Moore Paints,Paint like no other.
"Yorktown Center, regional shopping mall in Illinois, United States",Discover Yorktown. Inside and out.
"Elements, graphic design and marketing communications agency",Elements. Creative communications.
A glance made with partially lowered eyelashes. This usually indicates suspicion or hostility but may signal other emotions too. ,Hairy eyeball
Tabatchnick frozen soups,A soup for every taste and every season.
"The GYM, Penticton's health & fitness center",Take the 1st step.
A jocular exclamation or expression of astonishment. ,Stars and garters - My 
A person who tries to raise the alarm about a problem   and publicizes it inside and/or outside of his/her organization.,Whistle blower
Nussbaum Truckload Services,Setting new ideas in motion.
Liz underwear brand for women,Liz. As delicate as a caress.
Jasper Animal Hospital in Lafayette,We help you keep your best friend healthy.
"Janome embroidery and sewing machines, sergers",Dream. Inspire. Create.
Bayer Aspirin analgesics,Take it for Pain. Take it for Life.
Madison Flower Shop,Let's talk flowers.
Velton's Coffee Roasting Company,Skillfully roasted. Artfully blended.
"Kirra Tours, coach tour operator in New Zealand",Putting New into Zealand.
Home is the best of all places.,There's no place like home
Central Taxis in Wolverhampton,For people who go places.
Bad deeds or words return to discomfort their perpetrator. ,Chickens come home to roost
Graziadio School of Business and Management at Pepperdine University,The new world of business is here.
"Commerce Bank, USA, serving Kansas, Missouri and Illinois",Commerce Bank. Ask. Listen. Solve.
To be 'dressed to the nines' is to be dressed flamboyantly or smartly.,Dressed to the nines
"Caribbean Breeze Tanning salon in Norton, MA",Great service at a great price.
"One
who gives a gift but later takes it back.",Indian giver
"Le Gruyere, Swiss cheese",Le Gruyere. Born in Switzerland in 1115.
"Zaxby's, fast casual restaurants offering chicken dishes",Indescribably good.
Pittsburg Public Library,"Preserving the past, opening the future."
Parkside Cakery in St. Louis,Spreading joy one cake pop at a time!
"Labbrand, global brand consultancy",Brand innovations.
NEC Computers and semiconductors,NEC. Empowered by Innovation.
Nippon Paint Odour-less,Say goodbye to paint odour.
"Kiva Design, corporate and retail architecture and interior design",Designing spaces to enhance your business.
"Quality Scrub, offers express exterior wash services, self-serve wash centers",The trusted name in car washing.
Sharp Printing Services in Broadstairs,Your print department.
Michigan State University,Who will? Spartans will.
"Falmouth water taxi, based in Falmouth harbour, UK",Whatever your destination or requirements... we deliver!
The expression 'the whole nine yards' means 'all of it - the full measure'.,The whole nine yards
"Vichy Celestins mineral water, France",Vichy Celestins. Naturally healthy.
"WebTec, web design and development company in Cincinnati",That just happened.
Basilur Ceylon tea,Basilur. Magic story.
"Cinderella Plastic Surgery in Seoul, Korea",Experience a more beautiful you.
Home Drywall and Painting,Anything is possible.
Astring-O-Sol Ice,Chill with Ice!
"Pike Graphics, design firm in Mankato",Where ordinary is never good enough.
Speak or act prematurely.,Half-cocked
Sun Country Air Freshener,The great indoors.
"Early Learning Centre, British chain of shops selling educational toys",Where playing is learning.
"KLIA, Kuala Lumpur International Airport in Malaysia",The new way to the world.
"Pepsi Max, a low-calorie, sugar-free cola",Max your life.
"Not by any means; a good distance away from being true. It is used for emphasis when something a described as being far from its mark. For example, ""$100,000 isn't enough to buy a house in New York - not by a long shot"".",Not by a long shot
Hardee's,It's hot. It's Hardee's.
"NYU Stern School of Business, full-time and part-time MBA","We're swift, we're smart, we're Stern."
"George's Tradition, fish and chip restaurant chain, UK",First class fish & chips.
"Urban Nails Salon, manicure, pedicure and body waxing in Toronto",Love your nails.
"My Driving School in Pretoria, South Africa",We don't follow. We lead.
Don't waste time taking precautions when the damage has already been done.,Don't shut the stable door after the horse has bolted
"A rhetorical question, suggesting that what is being spoken of is without fault. ",What's not to like?
"Holeproof Socks, brand in Australia",Help put Australia back on its feet.
Meadow Lea margarine spreads,You ought to be congratulated.
"To have your interest in something, especially food, stimulated.",Whet your appetite
Ramada Hotel,You do your thing. Leave the rest to us.
Infiltrators or collaborators with the enemy. ,Fifth column
United Van Lines,There's moving. And there's moving United.
Goodyear tires,On the wings of Goodyear.
